id,parent_id,suburb_4th,suburb_3rd,suburb_2nd,suburb_1st,city_id,city_name,majorlocal,majorloc_1,NZdep_mean,NZdep_quant_mean,URPopn_perc_high
8963,0,Peacocke,NA,NA,NA,100030,Hamilton,100030,Hamilton,956.6460282481725,4.458664680216172,0
8962,0,Wade Heads,NA,NA,NA,100091,Whangaparaoa,100091,Whangaparaoa,906.2493681213384,1.704231311624256,0
8965,0,Pukawa Bay,NA,NA,NA,0,NA,100114,Turangi,945,4,0
8974,0,Kuku,NA,NA,NA,0,NA,1000058,Kuku,997.0563124381881,6.539174442914831,0
8975,0,Dillons Point,NA,NA,NA,0,NA,1000059,Dillons Point,905.3476953193269,2.020580038914205,0
8976,0,Hillpark,NA,NA,NA,100004,Auckland,100004,Auckland,1008.1258603015195,6.45032076566234,8.979441391178245
8977,0,Mangatuna,NA,NA,NA,0,NA,1000060,Mangatuna,1070.4323718416263,8.118371715549534,11.98263293662422
8978,0,Matangi,NA,NA,NA,0,NA,100030,Hamilton,919.1619470728673,2.5806166748879082,5.806296839066443
8979,0,Bainesse,NA,NA,NA,0,NA,100077,Palmerston North,970.5309731038394,4.850535987303652,0
8980,0,Kekerengu,NA,NA,NA,0,NA,100040,Kaikoura,956.5132919488539,4.7665012979529955,0
178,0,Bunnythorpe,NA,NA,NA,0,NA,100077,Palmerston North,934.4261778569837,3.4058730822219037,0
225,0,Churton Park,NA,NA,NA,100132,Wellington,100132,Wellington,896.5192014445958,1.78495644386708,0
354,0,Eureka,NA,NA,NA,0,NA,100030,Hamilton,935.0310236149487,3.3241242297599913,0
358,0,Eyrewell,NA,NA,NA,0,NA,102911,West Eyreton,917.3428163244405,2.3770523975753637,0
440,0,Glenside,NA,NA,NA,100132,Wellington,100132,Wellington,895.1946006267839,2.070625670676567,0
490,0,Halswell,NA,NA,NA,100012,Christchurch,100012,Christchurch,922.8458714547681,2.8583569927900285,0
540,0,Hillcrest,NA,NA,NA,100030,Hamilton,100030,Hamilton,1031.553423157775,7.237056543526589,25.259024905998572
569,0,Hornby,NA,NA,NA,100012,Christchurch,100012,Christchurch,1018.7994042973286,6.902631303584021,15.480787033915346
612,0,Islington,NA,NA,NA,100006,Blenheim,100006,Blenheim,992.863183116177,6.1129468263255236,2.80256028180513
673,0,Kelvin Grove,NA,NA,NA,100077,Palmerston North,100077,Palmerston North,944.0654288875787,3.6848952225070244,2.5637128153933504
845,0,Manurewa East,NA,NA,NA,100004,Auckland,100004,Auckland,1151.9201167431002,9.423519765270639,87.23666615591215
962,0,Morison Bush,NA,NA,NA,0,NA,100029,Greytown,938.6083015089546,3.5019388048450137,0
1019,0,Newstead,NA,NA,NA,0,NA,100030,Hamilton,927.1671414554983,3.0484199593896433,0.010550419002106817
1311,0,Pukemoremore,NA,NA,NA,0,NA,100030,Hamilton,952.3678803410519,4.315832359856257,0
1363,0,Rangiotu,NA,NA,NA,0,NA,100077,Palmerston North,970.7594041446588,5.032696751993256,0
1407,0,Riverlands,NA,NA,NA,0,NA,103624,Riverlands,922.4330818124365,3.1370708373038454,0
1408,0,Riverlea,NA,NA,NA,100030,Hamilton,100030,Hamilton,960.0234265842279,4.604989267006531,0
1634,0,Te Miro,NA,NA,NA,0,NA,100010,Cambridge,913.3746254717993,2.263936294511941,0
1694,0,Tararua Forest Park,NA,NA,NA,0,NA,100796,Tararua Forest Park,955.0662218420316,4.24083931478611,3.205303921929255
1919,0,Whakarongo,NA,NA,NA,100077,Palmerston North,100077,Palmerston North,956.0994011316913,4.370318852921221,0
8842,0,New Windsor,NA,NA,NA,100004,Auckland,100004,Auckland,1006.9922617270304,6.590143822924288,8.47111797975661
1943,0,Wigram,NA,NA,NA,100012,Christchurch,100012,Christchurch,946.8559800404021,3.838263126771484,0.008362422465303165
1956,0,Wiri,NA,NA,NA,100004,Auckland,100004,Auckland,1275.7899749112155,9.734624671757123,92.69703599321466
2038,0,Foxton,NA,NA,NA,100023,Foxton,100023,Foxton,1105.6927563351285,8.801728240718655,68.64620301964761
2046,0,Cambridge,NA,NA,NA,100010,Cambridge,100010,Cambridge,944.1850089573593,3.8331752406588278,1.8830567961768094
2162,0,Glen Oroua,NA,NA,NA,0,NA,101314,Glen Oroua,959.6656572437028,4.815171436623363,0
2293,0,Manakau,NA,NA,NA,0,NA,101049,Manakau,957.4484719864502,4.4666117727344155,0
2353,0,Lincoln,NA,NA,NA,100049,Lincoln,100049,Lincoln,912.9414848909455,2.53298868220802,1.6529300828081843
2384,0,Tamahere,NA,NA,NA,0,NA,100030,Hamilton,887.8613011528531,1.6675247870333645,0
2623,0,Tangoio,NA,NA,NA,0,NA,100063,Napier,1018.1511331527653,7.309199229480636,0
2627,0,Tutira,NA,NA,NA,0,NA,100063,Napier,990.0639760063326,6.107885714181143,0
2645,0,Tolaga Bay,NA,NA,NA,0,NA,101096,Tolaga Bay,1178.338820782315,9.563548886890947,81.82694581211697
2647,0,Tokomaru Bay,NA,NA,NA,0,NA,101097,Tokomaru Bay,1181.6303209475407,9.667899509237234,100
8798,0,Blenheim,NA,NA,NA,100006,Blenheim,100006,Blenheim,1016.2739568673383,6.653560405449175,28.83111277412241
8872,0,Tauwhare,NA,NA,NA,100030,Hamilton,100030,Hamilton,946.5879621503768,3.785438194731575,8.960796937726808
8892,0,Anaura Bay,NA,NA,NA,0,NA,101097,Tokomaru Bay,1099.1681193049571,8.946121156028152,93.68669825328688
8899,0,Raukumara,NA,NA,NA,0,NA,100197,Ruatoria,1120.8796107393068,8.96055904229839,88.00131276883253
8901,0,Tauwhareparae,NA,NA,NA,0,NA,101096,Tolaga Bay,1013.9631713300204,7.2063236313341985,6.838198586466948
8904,0,Waimata,NA,NA,NA,0,NA,1000039,Waimata,981.1898578452422,5.623532835549573,3.484367254373677
300,0,Double Cove,NA,NA,NA,0,NA,200003,Marlborough Sounds,956,5,0
301,0,Douglas,NA,NA,NA,0,NA,100097,Stratford,1009.6288966832358,7.000020818796965,0
302,0,Dovedale,NA,NA,NA,0,NA,100128,Wakefield,951.042820118963,4.542241035876643,0
421,0,Glen Eden,NA,NA,NA,100004,Auckland,100004,Auckland,1025.5336324923392,6.751851874915464,23.148129417660947
309,0,Dunback,NA,NA,NA,0,NA,100160,Palmerston,962.0002570346533,4.407877974949577,0
310,0,Dunearn,NA,NA,NA,0,NA,100139,Winton,1035.4500694169044,7.849597878607185,0
311,0,Dunedin Central,NA,NA,NA,100018,Dunedin,100018,Dunedin,1059.2916532384984,8.033072472945193,28.033098837051547
422,0,Glen Massey,NA,NA,NA,0,NA,100377,Glen Massey,1033.2617988492148,7.133278372012901,11.086427499568572
423,0,Glenavy,NA,NA,NA,0,NA,100120,Waimate,1009.3473566572017,6.725954645380736,0
